Vivado Simulator 2019.2
Time resolution is 1 ps
Instruction Memory Content Verification:
mem[0] = 00500093
mem[1] = 00300113
mem[2] = 002081b3
mem[3] = 40208233
mem[4] = 0020f2b3
mem[5] = 0020e333
mem[6] = 0010a3b3
mem[7] = 00102223
mem[8] = 00402403
mem[9] = 00a0a493
mem[10] = 0010f513
mem[11] = 0040e593
mem[12] = 00850163
mem[13] = 00000013
mem[14] = 00f00613
mem[15] = 00209163
mem[16] = 00000013
mem[17] = 01400693
mem[18] = 00c00713
mem[19] = 01900793
mem[20] = 01e00813
mem[21] = 02300893
mem[22] = 02800913
Cycle=2: PC=00000000, Instr=00500093, x1=         0, x2=         0, x3=         0, x4=         0, x5=         0, x6=         0, x7=         0, x8=         0, x9=         0, x10=         0, x11=         0, x12=         0, x13=         0, x14=         0, x18=         0
Cycle=4: PC=00000000, Instr=00500093, x1=         0, x2=         0, x3=         0, x4=         0, x5=         0, x6=         0, x7=         0, x8=         0, x9=         0, x10=         0, x11=         0, x12=         0, x13=         0, x14=         0, x18=         0
Releasing reset
Start executing instructions from program.dat
Cycle=6: PC=00000000, Instr=00500093, x1=         0, x2=         0, x3=         0, x4=         0, x5=         0, x6=         0, x7=         0, x8=         0, x9=         0, x10=         0, x11=         0, x12=         0, x13=         0, x14=         0, x18=         0
Cycle=8: PC=00000008, Instr=002081b3, x1=         5, x2=         3, x3=         0, x4=         0, x5=         0, x6=         0, x7=         0, x8=         0, x9=         0, x10=         0, x11=         0, x12=         0, x13=         0, x14=         0, x18=         0
Cycle=10: PC=00000010, Instr=0020f2b3, x1=         5, x2=         3, x3=         8, x4=         2, x5=         0, x6=         0, x7=         0, x8=         0, x9=         0, x10=         0, x11=         0, x12=         0, x13=         0, x14=         0, x18=         0
Cycle=12: PC=00000018, Instr=0010a3b3, x1=         5, x2=         3, x3=         8, x4=         2, x5=         1, x6=         7, x7=         0, x8=         0, x9=         0, x10=         0, x11=         0, x12=         0, x13=         0, x14=         0, x18=         0
Cycle=14: PC=00000020, Instr=00402403, x1=         5, x2=         3, x3=         8, x4=         2, x5=         1, x6=         7, x7=         0, x8=         0, x9=         0, x10=         0, x11=         0, x12=         0, x13=         0, x14=         0, x18=         0
Cycle=16: PC=00000028, Instr=0010f513, x1=         5, x2=         3, x3=         8, x4=         2, x5=         1, x6=         7, x7=         0, x8=         5, x9=         1, x10=         0, x11=         0, x12=         0, x13=         0, x14=         0, x18=         0
Cycle=18: PC=00000030, Instr=00850163, x1=         5, x2=         3, x3=         8, x4=         2, x5=         1, x6=         7, x7=         0, x8=         5, x9=         1, x10=         1, x11=         5, x12=         0, x13=         0, x14=         0, x18=         0
Cycle=20: PC=00000038, Instr=00f00613, x1=         5, x2=         3, x3=         8, x4=         2, x5=         1, x6=         7, x7=         0, x8=         5, x9=         1, x10=         1, x11=         5, x12=         0, x13=         0, x14=         0, x18=         0
Cycle=22: PC=0000003e, Instr=00209163, x1=         5, x2=         3, x3=         8, x4=         2, x5=         1, x6=         7, x7=         0, x8=         5, x9=         1, x10=         1, x11=         5, x12=        15, x13=         0, x14=         0, x18=         0
Cycle=24: PC=00000044, Instr=01400693, x1=         5, x2=         3, x3=         8, x4=         2, x5=         1, x6=         7, x7=         0, x8=         5, x9=         1, x10=         1, x11=         5, x12=        15, x13=         0, x14=         0, x18=         0
Cycle=26: PC=0000004c, Instr=01900793, x1=         5, x2=         3, x3=         8, x4=         2, x5=         1, x6=         7, x7=         0, x8=         5, x9=         1, x10=         1, x11=         5, x12=        15, x13=        20, x14=        12, x18=         0
Cycle=28: PC=00000054, Instr=02300893, x1=         5, x2=         3, x3=         8, x4=         2, x5=         1, x6=         7, x7=         0, x8=         5, x9=         1, x10=         1, x11=         5, x12=        15, x13=        20, x14=        12, x18=         0
Cycle=30: PC=0000005c, Instr=00000013, x1=         5, x2=         3, x3=         8, x4=         2, x5=         1, x6=         7, x7=         0, x8=         5, x9=         1, x10=         1, x11=         5, x12=        15, x13=        20, x14=        12, x18=        40
Cycle=32: PC=00000064, Instr=00000013, x1=         5, x2=         3, x3=         8, x4=         2, x5=         1, x6=         7, x7=         0, x8=         5, x9=         1, x10=         1, x11=         5, x12=        15, x13=        20, x14=        12, x18=        40
Cycle=34: PC=0000006c, Instr=00000013, x1=         5, x2=         3, x3=         8, x4=         2, x5=         1, x6=         7, x7=         0, x8=         5, x9=         1, x10=         1, x11=         5, x12=        15, x13=        20, x14=        12, x18=        40
Cycle=36: PC=00000074, Instr=00000013, x1=         5, x2=         3, x3=         8, x4=         2, x5=         1, x6=         7, x7=         0, x8=         5, x9=         1, x10=         1, x11=         5, x12=        15, x13=        20, x14=        12, x18=        40
Cycle=38: PC=0000007c, Instr=00000013, x1=         5, x2=         3, x3=         8, x4=         2, x5=         1, x6=         7, x7=         0, x8=         5, x9=         1, x10=         1, x11=         5, x12=        15, x13=        20, x14=        12, x18=        40
Cycle=40: PC=00000084, Instr=00000013, x1=         5, x2=         3, x3=         8, x4=         2, x5=         1, x6=         7, x7=         0, x8=         5, x9=         1, x10=         1, x11=         5, x12=        15, x13=        20, x14=        12, x18=        40
Cycle=42: PC=0000008c, Instr=00000013, x1=         5, x2=         3, x3=         8, x4=         2, x5=         1, x6=         7, x7=         0, x8=         5, x9=         1, x10=         1, x11=         5, x12=        15, x13=        20, x14=        12, x18=        40
Cycle=44: PC=00000094, Instr=00000013, x1=         5, x2=         3, x3=         8, x4=         2, x5=         1, x6=         7, x7=         0, x8=         5, x9=         1, x10=         1, x11=         5, x12=        15, x13=        20, x14=        12, x18=        40
Cycle=46: PC=0000009c, Instr=00000013, x1=         5, x2=         3, x3=         8, x4=         2, x5=         1, x6=         7, x7=         0, x8=         5, x9=         1, x10=         1, x11=         5, x12=        15, x13=        20, x14=        12, x18=        40
Cycle=48: PC=000000a4, Instr=00000013, x1=         5, x2=         3, x3=         8, x4=         2, x5=         1, x6=         7, x7=         0, x8=         5, x9=         1, x10=         1, x11=         5, x12=        15, x13=        20, x14=        12, x18=        40
Cycle=50: PC=000000ac, Instr=00000013, x1=         5, x2=         3, x3=         8, x4=         2, x5=         1, x6=         7, x7=         0, x8=         5, x9=         1, x10=         1, x11=         5, x12=        15, x13=        20, x14=        12, x18=        40
Cycle=52: PC=000000b4, Instr=00000013, x1=         5, x2=         3, x3=         8, x4=         2, x5=         1, x6=         7, x7=         0, x8=         5, x9=         1, x10=         1, x11=         5, x12=        15, x13=        20, x14=        12, x18=        40
Cycle=54: PC=000000bc, Instr=00000013, x1=         5, x2=         3, x3=         8, x4=         2, x5=         1, x6=         7, x7=         0, x8=         5, x9=         1, x10=         1, x11=         5, x12=        15, x13=        20, x14=        12, x18=        40
Cycle=56: PC=000000c4, Instr=00000013, x1=         5, x2=         3, x3=         8, x4=         2, x5=         1, x6=         7, x7=         0, x8=         5, x9=         1, x10=         1, x11=         5, x12=        15, x13=        20, x14=        12, x18=        40
Cycle=58: PC=000000cc, Instr=00000013, x1=         5, x2=         3, x3=         8, x4=         2, x5=         1, x6=         7, x7=         0, x8=         5, x9=         1, x10=         1, x11=         5, x12=        15, x13=        20, x14=        12, x18=        40
Cycle=60: PC=000000d4, Instr=00000013, x1=         5, x2=         3, x3=         8, x4=         2, x5=         1, x6=         7, x7=         0, x8=         5, x9=         1, x10=         1, x11=         5, x12=        15, x13=        20, x14=        12, x18=        40
Cycle=62: PC=000000dc, Instr=00000013, x1=         5, x2=         3, x3=         8, x4=         2, x5=         1, x6=         7, x7=         0, x8=         5, x9=         1, x10=         1, x11=         5, x12=        15, x13=        20, x14=        12, x18=        40
Cycle=64: PC=000000e4, Instr=00000013, x1=         5, x2=         3, x3=         8, x4=         2, x5=         1, x6=         7, x7=         0, x8=         5, x9=         1, x10=         1, x11=         5, x12=        15, x13=        20, x14=        12, x18=        40
Cycle=66: PC=000000ec, Instr=00000013, x1=         5, x2=         3, x3=         8, x4=         2, x5=         1, x6=         7, x7=         0, x8=         5, x9=         1, x10=         1, x11=         5, x12=        15, x13=        20, x14=        12, x18=        40
Cycle=68: PC=000000f4, Instr=00000013, x1=         5, x2=         3, x3=         8, x4=         2, x5=         1, x6=         7, x7=         0, x8=         5, x9=         1, x10=         1, x11=         5, x12=        15, x13=        20, x14=        12, x18=        40
Cycle=70: PC=000000fc, Instr=00000013, x1=         5, x2=         3, x3=         8, x4=         2, x5=         1, x6=         7, x7=         0, x8=         5, x9=         1, x10=         1, x11=         5, x12=        15, x13=        20, x14=        12, x18=        40
Cycle=72: PC=00000104, Instr=00000013, x1=         5, x2=         3, x3=         8, x4=         2, x5=         1, x6=         7, x7=         0, x8=         5, x9=         1, x10=         1, x11=         5, x12=        15, x13=        20, x14=        12, x18=        40
Cycle=74: PC=0000010c, Instr=00000013, x1=         5, x2=         3, x3=         8, x4=         2, x5=         1, x6=         7, x7=         0, x8=         5, x9=         1, x10=         1, x11=         5, x12=        15, x13=        20, x14=        12, x18=        40
Cycle=76: PC=00000114, Instr=00000013, x1=         5, x2=         3, x3=         8, x4=         2, x5=         1, x6=         7, x7=         0, x8=         5, x9=         1, x10=         1, x11=         5, x12=        15, x13=        20, x14=        12, x18=        40
Cycle=78: PC=0000011c, Instr=00000013, x1=         5, x2=         3, x3=         8, x4=         2, x5=         1, x6=         7, x7=         0, x8=         5, x9=         1, x10=         1, x11=         5, x12=        15, x13=        20, x14=        12, x18=        40
Cycle=80: PC=00000124, Instr=00000013, x1=         5, x2=         3, x3=         8, x4=         2, x5=         1, x6=         7, x7=         0, x8=         5, x9=         1, x10=         1, x11=         5, x12=        15, x13=        20, x14=        12, x18=        40
Cycle=82: PC=0000012c, Instr=00000013, x1=         5, x2=         3, x3=         8, x4=         2, x5=         1, x6=         7, x7=         0, x8=         5, x9=         1, x10=         1, x11=         5, x12=        15, x13=        20, x14=        12, x18=        40
